file name,event start time,event end time, event width,event depth,event interval
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,1160.1902,1160.2002,0.01,62.3486223633,2.4822
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,1166.7056,1166.7228,0.0172,62.846621917,1.054
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,1249.683,1249.6976,0.0146,62.5321612131,3.4272
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_3,1269.8286,1269.8318,0.0032,86.1615458679,1.2236
 
file name,event start time,event end time, event width,event depth,event interval
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_4,1125.7838,1125.792,0.0082,64.1881681712,0.5806
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_4,1135.0854,1135.0982,0.0128,65.1437024689,8.632
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_4,1150.1804,1150.1972,0.0168,64.3577155413,6.6022
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_4,1159.0398,1159.0522,0.0124,64.3397763357,4.668
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_4,1161.908,1161.9164,0.0084,64.6989681571,0.832
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_4,1189.7652,1189.7716,0.0064,65.8183083344,8.3286
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_4,1210.8902,1210.8934,0.0032,80.5877531433,0.0384
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_4,1220.5534,1220.5668,0.0134,65.1451054906,0.5712
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_4,1239.98,1239.9862,0.0062,63.9973005922,0.5394
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_4,1250.6798,1250.6942,0.0144,64.540980835,0.3376
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_4,1294.712,1294.7152,0.0032,64.9722862244,13.8486
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_4,1300.5966,1300.6112,0.0146,64.4082714844,1.4804
